Effective date,S&P 500 (TR),S&P 500 (Net TR),S&P 500
2016-03-18,3852.15,3491.22,2049.58
2016-03-17,3835.26,3475.92,2040.59
2016-03-16,3810.09,3453.11,2027.22
2016-03-15,3788.62,3433.72,2015.93
2016-03-14,3795.53,3440.0,2019.64
2016-03-11,3800.07,3444.19,2022.19
2016-03-10,3737.74,3387.97,1989.57
2016-03-09,3736.92,3387.3,1989.26
2016-03-08,3717.49,3369.86,1979.26
2016-03-07,3759.05,3407.72,2001.76
2016-03-04,3755.47,3404.55,1999.99
2016-03-03,3743.02,3393.28,1993.4
2016-03-02,3729.59,3381.21,1986.45
2016-03-01,3713.7,3366.99,1978.35
2016-02-29,3627.06,3288.45,1932.23
2016-02-26,3656.42,3315.17,1948.05
2016-02-25,3662.84,3321.1,1951.7
2016-02-24,3620.87,3283.29,1929.8
2016-02-23,3604.68,3268.66,1921.27
2016-02-22,3649.92,3309.74,1945.5
2016-02-19,3597.92,3262.58,1917.78
2016-02-18,3597.49,3262.34,1917.83
2016-02-17,3614.16,3277.51,1926.82
2016-02-16,3555.2,3224.14,1895.58
2016-02-12,3496.28,3171.02,1864.78
2016-02-11,3428.99,3110.08,1829.08
2016-02-10,3471.04,3148.4,1851.86
2016-02-09,3470.5,3148.24,1852.21
2016-02-08,3472.08,3149.86,1853.44
2016-02-05,3521.6,3194.88,1880.05
2016-02-04,3587.71,3254.91,1915.45
2016-02-03,3581.53,3249.5,1912.53
2016-02-02,3562.52,3232.58,1903.03
2016-02-01,3630.46,3294.26,1939.38
2016-01-29,3631.96,3295.65,1940.24
2016-01-28,3544.13,3215.98,1893.36
2016-01-27,3524.33,3198.09,1882.95
2016-01-26,3562.81,3233.07,1903.63
2016-01-25,3513.11,3187.97,1877.08
2016-01-22,3568.9,3238.61,1906.9
2016-01-21,3497.94,3174.21,1868.99
2016-01-20,3479.75,3157.74,1859.33
2016-01-19,3520.4,3194.78,1881.33
2016-01-15,3518.51,3193.06,1880.33
2016-01-14,3596.03,3263.45,1921.84
2016-01-13,3536.92,3209.83,1890.28
2016-01-12,3627.06,3291.75,1938.68
2016-01-11,3598.97,3266.26,1923.67
2016-01-08,3595.91,3263.47,1922.03
2016-01-07,3635.29,3299.22,1943.09
2016-01-06,3723.44,3379.25,1990.26
2016-01-05,3771.57,3423.3,2016.71
2016-01-04,3763.99,3416.42,2012.66
2015-12-31,3821.6,3468.95,2043.94
2015-12-30,3857.9,3501.9,2063.36
2015-12-29,3885.55,3527.11,2078.36
2015-12-28,3843.94,3489.54,2056.5
2015-12-24,3852.31,3497.15,2060.99
2015-12-23,3858.47,3502.74,2064.29
2015-12-22,3810.85,3459.59,2038.97
2015-12-21,3777.15,3429.11,2021.15
2015-12-18,3747.56,3402.36,2005.55
2015-12-17,3815.46,3464.0,2041.89
2015-12-16,3873.12,3516.52,2073.07
2015-12-15,3817.36,3465.99,2043.41
2015-12-14,3777.22,3429.55,2021.94
2015-12-11,3759.09,3413.16,2012.37
2015-12-10,3832.93,3480.37,2052.23
2015-12-09,3823.9,3472.29,2047.62
2015-12-08,3853.48,3499.21,2063.59
2015-12-07,3878.31,3521.85,2077.07
2015-12-04,3905.31,3546.45,2091.69
2015-12-03,3826.74,3475.1,2049.62
2015-12-02,3882.38,3525.68,2079.51
2015-12-01,3924.63,3564.3,2102.63
2015-11-30,3882.84,3526.43,2080.41
2015-11-27,3900.74,3542.74,2090.11
2015-11-25,3897.57,3540.1,2088.87
2015-11-24,3897.67,3540.3,2089.14
2015-11-23,3892.8,3535.91,2086.59
2015-11-20,3897.45,3540.17,2089.17
2015-11-19,3882.06,3526.36,2081.24
2015-11-18,3886.26,3530.22,2083.58
2015-11-17,3824.14,3473.87,2050.44
2015-11-16,3828.46,3478.01,2053.19
2015-11-13,3771.59,3426.53,2023.04
2015-11-12,3814.29,3465.34,2045.97
2015-11-11,3867.71,3514.06,2075.0
2015-11-10,3880.23,3525.43,2081.72
2015-11-09,3873.37,3519.48,2078.58
2015-11-06,3910.98,3553.88,2099.2
2015-11-05,3911.89,3554.83,2099.93
2015-11-04,3915.52,3558.34,2102.31
2015-11-03,3928.05,3570.11,2109.79
2015-11-02,3917.3,3560.36,2104.05
2015-10-30,3871.33,3518.58,2079.36
2015-10-29,3890.04,3535.58,2089.41
2015-10-28,3891.35,3536.9,2090.35
2015-10-27,3845.45,3495.27,2065.89
2015-10-26,3855.29,3504.22,2071.18
2015-10-23,3862.65,3510.92,2075.15
2015-10-22,3820.49,3472.6,2052.51
2015-10-21,3757.91,3415.75,2018.94
2015-10-20,3779.44,3435.44,2030.77
2015-10-19,3784.72,3440.28,2033.66
2015-10-16,3783.64,3439.31,2033.11
2015-10-15,3766.43,3423.66,2023.86
2015-10-14,3711.11,3373.43,1994.24
2015-10-13,3728.48,3389.28,2003.69
2015-10-12,3753.73,3412.33,2017.46
2015-10-09,3748.96,3408.0,2014.89
2015-10-08,3746.12,3405.45,2013.43
2015-10-07,3713.36,3375.67,1995.83
2015-10-06,3682.33,3347.85,1979.92
2015-10-05,3695.61,3359.92,1987.05
2015-10-02,3629.04,3299.45,1951.36
2015-10-01,3577.47,3252.66,1923.82
2015-09-30,3570.17,3246.09,1920.03
2015-09-29,3503.13,3185.19,1884.09
2015-09-28,3498.61,3181.14,1881.77
2015-09-25,3589.71,3264.26,1931.34
2015-09-24,3591.37,3265.78,1932.24
2015-09-23,3603.49,3276.79,1938.76
2015-09-22,3610.7,3283.41,1942.74
2015-09-21,3655.64,3324.29,1966.97
2015-09-18,3638.99,3309.16,1958.03
2015-09-17,3698.74,3363.51,1990.2
2015-09-16,3707.62,3371.76,1995.31
2015-09-15,3675.48,3342.56,1978.09
2015-09-14,3628.87,3300.19,1953.03
2015-09-11,3643.54,3313.59,1961.05
2015-09-10,3626.14,3298.08,1952.29
2015-09-09,3606.8,3280.57,1942.04
2015-09-08,3657.32,3326.61,1969.41
2015-09-04,3567.41,3244.94,1921.22
2015-09-03,3622.66,3295.27,1951.13
2015-09-02,3618.25,3291.32,1948.86
2015-09-01,3552.65,3231.81,1913.85
2015-08-31,3660.75,3330.19,1972.18
2015-08-28,3691.3,3358.1,1988.87
2015-08-27,3688.6,3355.77,1987.66
2015-08-26,3600.73,3275.93,1940.51
2015-08-25,3465.19,3152.68,1867.61
2015-08-24,3512.65,3195.88,1893.21
2015-08-21,3656.67,3326.94,1970.89
2015-08-20,3776.36,3436.0,2035.73
2015-08-19,3857.74,3510.06,2079.61
2015-08-18,3889.6,3539.11,2096.92
2015-08-17,3899.1,3547.96,2102.44
2015-08-14,3878.16,3529.1,2091.54
2015-08-13,3863.03,3515.34,2083.39
2015-08-12,3867.37,3519.45,2086.05
2015-08-11,3862.81,3515.54,2084.07
2015-08-10,3899.36,3549.01,2104.18
2015-08-07,3849.96,3504.06,2077.57
2015-08-06,3860.92,3514.08,2083.56
2015-08-05,3889.99,3540.84,2099.84
2015-08-04,3876.44,3528.91,2093.32
2015-08-03,3885.07,3536.79,2098.04
2015-07-31,3895.8,3546.56,2103.84
2015-07-30,3904.64,3554.61,2108.63
2015-07-29,3904.21,3554.31,2108.57
2015-07-28,3875.37,3528.19,2093.25
2015-07-27,3827.93,3485.0,2067.64
2015-07-24,3850.15,3505.24,2079.65
2015-07-23,3891.79,3543.15,2102.15
2015-07-22,3913.75,3563.21,2114.15
2015-07-21,3922.7,3571.48,2119.21
2015-07-20,3939.35,3586.67,2128.28
2015-07-17,3936.22,3583.85,2126.64
2015-07-16,3931.85,3579.88,2124.29
2015-07-15,3900.5,3551.36,2107.4
2015-07-14,3903.31,3553.93,2108.95
2015-07-13,3885.97,3538.15,2099.6
2015-07-10,3843.1,3499.21,2076.62
2015-07-09,3796.26,3456.57,2051.31
2015-07-08,3787.67,3448.75,2046.68
2015-07-07,3850.66,3506.42,2081.34
2015-07-06,3827.35,3485.2,2068.76
2015-07-02,3842.06,3498.63,2076.78
2015-07-01,3843.26,3499.72,2077.42
