Date,Value
2016-01-31,11.77
2015-12-31,11.76
2015-11-30,11.71
2015-10-31,11.65
2015-09-30,11.6
2015-08-31,11.61
2015-07-31,13.07
2015-06-30,13.12
2015-05-31,13.06
2015-04-30,13.14
2015-03-31,13.34
2015-02-28,13.37
2015-01-31,13.26
2014-12-31,13.31
2014-11-30,13.37
2014-10-31,13.2
2014-09-30,13.16
2014-08-31,12.97
2014-07-31,12.86
2014-06-30,12.46
2014-05-31,12.54
2014-04-30,12.78
2014-03-31,12.69
2014-02-28,12.65
2014-01-31,12.53
2013-12-31,13.15
2013-11-30,13.25
2013-10-31,12.87
2013-09-30,12.97
2013-08-31,11.92
2013-07-31,11.68
2013-06-30,11.93
2013-05-31,12.4
2013-04-30,12.64
2013-03-31,12.53
2013-02-28,12.35
2013-01-31,12.42
2012-12-31,12.93
2012-11-30,12.89
2012-10-31,12.24
2012-09-30,12.01
2012-08-31,12.11
2012-07-31,12.25
2012-06-30,12.54
2012-05-31,12.23
2012-04-30,12.08
2012-03-31,12.54
2012-02-29,12.8
2012-01-31,12.7
2011-12-31,12.78
2011-11-30,12.81
2011-10-31,12.89
2011-09-30,12.55
2011-08-31,12.11
2011-07-31,12.23
2011-06-30,12.28
2011-05-31,12.46
2011-04-30,12.54
2011-03-31,12.69
2011-02-28,12.96
2011-01-31,12.68
2010-12-31,12.15
2010-11-30,12.35
2010-10-31,12.67
