,Date,Value
0,2016-01-31,11.77
1,2015-12-31,11.76
2,2015-11-30,11.71
3,2015-10-31,11.65
4,2015-09-30,11.6
5,2015-08-31,11.61
6,2015-07-31,13.07
7,2015-06-30,13.12
8,2015-05-31,13.06
9,2015-04-30,13.14
10,2015-03-31,13.34
11,2015-02-28,13.37
12,2015-01-31,13.26
13,2014-12-31,13.31
14,2014-11-30,13.37
15,2014-10-31,13.2
16,2014-09-30,13.16
17,2014-08-31,12.97
18,2014-07-31,12.86
19,2014-06-30,12.46
20,2014-05-31,12.54
21,2014-04-30,12.78
22,2014-03-31,12.69
23,2014-02-28,12.65
24,2014-01-31,12.53
25,2013-12-31,13.15
26,2013-11-30,13.25
27,2013-10-31,12.87
28,2013-09-30,12.97
29,2013-08-31,11.92
30,2013-07-31,11.68
31,2013-06-30,11.93
32,2013-05-31,12.4
33,2013-04-30,12.64
34,2013-03-31,12.53
35,2013-02-28,12.35
36,2013-01-31,12.42
37,2012-12-31,12.93
38,2012-11-30,12.89
39,2012-10-31,12.24
40,2012-09-30,12.01
41,2012-08-31,12.11
42,2012-07-31,12.25
43,2012-06-30,12.54
44,2012-05-31,12.23
45,2012-04-30,12.08
46,2012-03-31,12.54
47,2012-02-29,12.8
48,2012-01-31,12.7
49,2011-12-31,12.78
50,2011-11-30,12.81
51,2011-10-31,12.89
52,2011-09-30,12.55
53,2011-08-31,12.11
54,2011-07-31,12.23
55,2011-06-30,12.28
56,2011-05-31,12.46
57,2011-04-30,12.54
58,2011-03-31,12.69
59,2011-02-28,12.96
60,2011-01-31,12.68
61,2010-12-31,12.15
62,2010-11-30,12.35
63,2010-10-31,12.67
